# Wavelength (nm); Cross-section (cm^2)
5.463570045545104676e+02; 4.741966195731165491e-20
5.492728844665007273e+02; 4.639960218128859959e-20
5.519636605888404119e+02; 4.543267807539350074e-20
5.544271629100840073e+02; 4.445063554628641010e-20
5.566665005109575759e+02; 4.355126554641346716e-20
5.591312908799305887e+02; 4.260973641189120272e-20
5.613694958871110430e+02; 4.167474256505573001e-20
5.631494668106663539e+02; 4.059355974246725267e-20
5.649307701973900748e+02; 3.955428732806997195e-20
5.667157378578269800e+02; 3.863026853619851503e-20
5.682735871712040989e+02; 3.769602086873737479e-20
5.698307702529968992e+02; 3.674081799718061819e-20
5.718379261467704282e+02; 3.567195957059139182e-20
5.736209395278937109e+02; 3.468647218003950437e-20
5.747253294173324321e+02; 3.375621449951050379e-20
5.764575226532115266e+02; 3.259894418066627860e-20
5.782807186819509297e+02; 3.145065495968023884e-20
5.800590240265455577e+02; 3.031708412685274466e-20
5.816168733399226767e+02; 2.938283645939159239e-20
5.828546250263461843e+02; 2.836721171299894361e-20
5.841606121516255143e+02; 2.735779890989754048e-20
5.852682221603879498e+02; 2.652882471583062949e-20
5.868224072000517708e+02; 2.547932342584366545e-20
5.880828374096022344e+02; 2.446367380680519155e-20
5.893662570503519191e+02; 2.345777841036553355e-20
5.908069384357845593e+02; 2.240490894959169088e-20
5.922458432036590921e+02; 2.129615894456288728e-20
5.939119773571910628e+02; 2.020113034913972312e-20
5.955815537072413690e+02; 1.921437030821052468e-20
5.973588597044598600e+02; 1.804936666923961198e-20
5.990899425543651660e+02; 1.685717101023604826e-20
6.003538371681536319e+02; 1.595048845249473130e-20
6.020214148234513232e+02; 1.490086279927870784e-20
6.040271716308980103e+02; 1.378799844408870516e-20
6.058081419018296856e+02; 1.273824842764362228e-20
6.075921102148902264e+02; 1.178279682962876488e-20
6.096015312960502115e+02; 1.078518609696459202e-20
6.118350060589827990e+02; 9.701410301050333404e-21
6.140690138071826141e+02; 8.634398668412543803e-21
6.165301621101618821e+02; 7.578314418167658832e-21
6.194483579700402061e+02; 6.631098923048361768e-21
6.225921334992719949e+02; 5.645715760726532159e-21
6.259639791349696907e+02; 4.700497479845263805e-21
6.300150002828073639e+02; 3.717412372334610680e-21
6.347506107233336934e+02; 2.866741882384414265e-21
6.397162648732397656e+02; 2.118312664189139927e-21
6.446862798116969770e+02; 1.507044781892395089e-21
6.495081369591257499e+02; 9.913206461786148957e-22
6.546219102710279003e+02; 7.078177247321236510e-22
6.630668207826440721e+02; 3.284030167679572980e-22
